,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident
1703,Unknown,Female,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,No distancing
8009,Under 18,Male,Junior high school,Employee,No Licence,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads with some distress,Daylight,Normal,Collision with roadside objects,Reversing,Not a Pedestrian,Other
10939,31-50,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,Changing lane to the left
1024,18-30,Male,Junior high school,Employee,2-5yr,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
5972,18-30,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left
1521,Unknown,Male,High school,Employee,1-2yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly
12268,31-50,Male,Junior high school,Employee,2-5yr,One way,O Shape,Asphalt roads,Daylight,Raining,Collision with pedestrians,Going straight,Not a Pedestrian,Driving under the influence of drugs
1275,18-30,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to pedestrian
6523,31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the left
1800,31-50,Male,Junior high school,Employee,5-10yr,One way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,Turnover
6658,Unknown,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,Not a Pedestrian,Driving carelessly
350,31-50,Male,Junior high school,Employee,5-10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking
4512,31-50,Male,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Windy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle
5112,18-30,Male,Elementary school,Employee,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,No distancing
842,18-30,Male,Junior high school,Owner,5-10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Moving Backward,Not a Pedestrian,No priority to pedestrian
5281,31-50,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left
3060,31-50,Male,Unknown,Unknown,Unknown,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
11731,18-30,Male,High school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the left
8863,Over 51,Male,High school,Owner,Above 10yr,Unknown,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Driving at high speed
5800,31-50,Male,High school,Owner,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - no lighting,Windy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward
10394,31-50,Male,Elementary school,Employee,Above 10yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly
989,18-30,Male,Junior high school,Employee,2-5yr,other,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly
8632,18-30,Male,High school,Other,Above 10yr,Two-way (divided with broken lines road marking),Crossing,Earth roads,Daylight,Other,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle
4339,Over 51,Male,Junior high school,Employee,2-5yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Other
3038,Over 51,Male,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Other,Not a Pedestrian,No distancing
2217,Unknown,Male,Unknown,Unknown,Unknown,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly
3224,Unknown,Male,Unknown,Employee,unknown,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward
6599,18-30,Male,Writing & reading,Employee,Below 1yr,Two-way (divided with broken lines road marking),No junction,Unknown,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left
925,31-50,Male,Elementary school,Owner,Above 10yr,Unknown,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly
6138,Unknown,Male,Junior high school,Employee,Above 10yr,One way,Unknown,Asphalt roads,Daylight,Other,Fall from vehicles,Going straight,"Walking along in carriageway, back to traffic",No priority to vehicle
9998,31-50,Male,Unknown,Unknown,Unknown,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Other,Not a Pedestrian,Driving under the influence of drugs
4068,Over 51,Male,Junior high school,Employee,Below 1yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
2325,Over 51,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to vehicle
6445,Under 18,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Changing lane to the left
6619,31-50,Male,High school,Employee,Above 10yr,other,No junction,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle
2113,31-50,Unknown,Unknown,Unknown,Unknown,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,Changing lane to the right
8533,31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left
3199,18-30,Male,High school,Owner,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Changing lane to the right
7128,31-50,Male,High school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right
10058,Over 51,Male,Elementary school,Employee,5-10yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Moving Backward,Not a Pedestrian,No distancing
6372,Over 51,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Fall from vehicles,Going straight,Not a Pedestrian,Overtaking
386,18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward
10661,31-50,Male,Junior high school,Employee,1-2yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle
8685,31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unknown or other,No distancing
587,31-50,Male,Junior high school,Employee,1-2yr,One way,No junction,Asphalt roads,Daylight,Normal,Unknown,Going straight,Not a Pedestrian,Moving Backward
11150,18-30,Male,High school,Employee,2-5yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left
10307,18-30,Male,Junior high school,Employee,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Overtaking
3977,18-30,Male,Junior high school,Employee,5-10yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left
10792,31-50,Male,Elementary school,Employee,5-10yr,One way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from driver's nearside,Changing lane to the right
1799,18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right
12290,Over 51,Male,Above high school,Owner,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Reversing,Not a Pedestrian,Changing lane to the right
5161,Unknown,Male,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Changing lane to the right
6776,31-50,Male,High school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Entering a junction,Not a Pedestrian,Moving Backward
9837,18-30,Male,High school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No distancing
6962,31-50,Male,Junior high school,Owner,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,Moving Backward
244,Over 51,Female,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Reversing,Not a Pedestrian,Driving to the left
2595,Unknown,Male,Junior high school,Owner,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Other,Not a Pedestrian,No distancing
8489,31-50,Male,Elementary school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights unlit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other
7749,Over 51,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Driving carelessly
1490,31-50,Male,Elementary school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Raining,Collision with pedestrians,Going straight,Not a Pedestrian,Driving under the influence of drugs
5403,Unknown,Male,Junior high school,Employee,Above 10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Reversing,Not a Pedestrian,Driving carelessly
8959,18-30,Male,Above high school,Employee,2-5yr,Undivided Two way,No junction,Earth roads,Daylight,Normal,Collision with roadside objects,Moving Backward,Not a Pedestrian,No priority to vehicle
6005,31-50,Male,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Unknown,Going straight,Not a Pedestrian,Driving carelessly
4122,Unknown,Female,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right
5668,Unknown,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
11470,31-50,Male,High school,Other,Above 10yr,Two-way (divided with broken lines road marking),O Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
7475,Over 51,Male,Junior high school,Employee,1-2yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
570,Over 51,Male,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
1790,18-30,Male,Unknown,Owner,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward
3792,31-50,Male,Elementary school,Owner,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right
11434,18-30,Male,Unknown,Unknown,Unknown,Undivided Two way,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly
10524,Unknown,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Changing lane to the left
7652,31-50,Male,Junior high school,Owner,Below 1yr,One way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Other,Not a Pedestrian,Changing lane to the right
240,18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right
5698,18-30,Male,Elementary school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Driving carelessly
4702,18-30,Male,Elementary school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left
10,18-30,Male,Above high school,Owner,1-2yr,other,No junction,Asphalt roads,Daylight,Normal,Collision with animals,Turnover,Not a Pedestrian,Changing lane to the left
8785,18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - no lighting,Unknown,Collision with pedestrians,Going straight,Not a Pedestrian,Overspeed
3638,Unknown,Female,Junior high school,Owner,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right
11677,31-50,Male,Junior high school,Employee,Below 1yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Turnover,Not a Pedestrian,No distancing
1314,Over 51,Male,Junior high school,Owner,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left
590,31-50,Male,Unknown,Owner,Below 1yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly
1773,18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,No priority to vehicle
6970,31-50,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward
3653,18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,No priority to vehicle
11294,31-50,Male,Junior high school,Employee,2-5yr,Double carriageway (median),Unknown,Other,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving under the influence of drugs
1168,18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
189,31-50,Male,Junior high school,Unknown,Unknown,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian
4810,31-50,Male,Junior high school,Owner,5-10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Changing lane to the left
11817,31-50,Male,Junior high school,Unknown,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Other,Not a Pedestrian,No distancing
4222,Under 18,Male,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Moving Backward
10884,18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
4821,31-50,Male,Above high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward
1713,31-50,Male,Junior high school,Owner,1-2yr,One way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,Moving Backward
4065,31-50,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Unknown,Daylight,Other,Rollover,Going straight,Not a Pedestrian,Moving Backward
9673,31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with animals,Turnover,Not a Pedestrian,Driving under the influence of drugs
10571,Over 51,Male,Junior high school,Employee,2-5yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Unknown,Other,Not a Pedestrian,No priority to vehicle
2993,Over 51,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
4502,31-50,Male,Elementary school,Employee,5-10yr,Undivided Two way,No junction,Earth roads,Daylight,Other,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle
11472,18-30,Male,Elementary school,Unknown,Unknown,Undivided Two way,No junction,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right
9674,31-50,Male,Junior high school,Owner,Below 1yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,No priority to vehicle
1614,Unknown,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Unknown,Going straight,Not a Pedestrian,Changing lane to the left
4328,18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left
47,31-50,Male,Unknown,Employee,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
3816,18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left
7410,31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,No priority to vehicle
10721,31-50,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Moving Backward
10000,31-50,Male,Junior high school,Employee,Above 10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing
11407,18-30,Male,Unknown,Unknown,Unknown,One way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Crossing from driver's nearside,Overtaking
9332,18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward
7858,31-50,Male,Unknown,Unknown,Unknown,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
9950,18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward
1817,31-50,Male,Elementary school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,No priority to vehicle
